Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Streams,Popularity
116760,4,0.774,0.412,1,-8.619,1,0.378,0.026,0,0.088,0.38,139.943,,46
178413,4,0.916,0.824,8,-4.444,0,0.422,0.222,0.00108,0.0661,0.87,139.926,,51
140920,4,0.847,0.405,11,-10.901,1,0.584,0.232,5.37E-06,0.0944,0.588,156.999,,46
139560,4,0.948,0.512,6,-5.74,0,0.146,0.0269,8.57E-06,0.0504,0.599,105.004,478505716,71
117066,4,0.885,0.353,2,-10.484,1,0.0912,0.0866,5.78E-05,0.173,0.316,134.079,,47
199693,4,0.507,0.372,1,-8.433,1,0.0303,0.481,0,0.271,0.257,86.422,,61
196746,4,0.576,0.849,9,-3.057,1,0.0386,0.511,3.89E-05,0.109,0.666,137.982,141779531,64
179666,4,0.56,0.555,10,-7.612,1,0.0318,0.166,0,0.0837,0.328,153.986,,60
176666,4,0.412,0.586,7,-4.572,1,0.0318,0.292,3.66E-06,0.128,0.3,79.234,,29
204720,4,0.542,0.797,9,-4.45,0,0.0379,0.00111,0,0.0906,0.593,113.95,,54
206106,4,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,257972291,74
225266,4,0.481,0.775,0,-5.494,1,0.0597,0.0169,1.39E-05,0.0978,0.273,136.035,,39
201866,4,0.336,0.758,5,-4.187,1,0.0451,0.00275,0,0.189,0.236,77.807,,42
190173,4,0.489,0.641,7,-4.455,1,0.0282,0.0592,0,0.0857,0.303,136.095,133113324,61
281306,4,0.478,0.653,8,-7.058,1,0.0312,0.0819,0,0.106,0.348,152.005,,56
174946,4,0.478,0.768,7,-4.784,1,0.0342,0.102,0,0.101,0.465,110.046,,55
169720,4,0.469,0.813,1,-4.875,0,0.0422,0.00714,0,0.131,0.406,120.894,,59
183680,4,0.659,0.823,4,-5.77,0,0.0415,0.0174,1.82E-06,0.11,0.405,112.931,,65
186973,4,0.406,0.843,10,-5.124,0,0.0526,0.0889,0,0.158,0.271,150.054,,68
199733,4,0.504,0.736,0,-6.079,1,0.0352,0.00216,0,0.129,0.46,148.014,190051077,61
242484,4,0.575,0.45,4,-9.306,1,0.0259,0.531,6.59E-05,0.124,0.263,132.039,1103039352,84
121695,4,0.672,0.253,9,-12.71,0,0.0395,0.864,0,0.0787,0.409,76.481,,60
132630,4,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,1215155929,86
175875,3,0.37,0.358,8,-10.633,1,0.0317,0.799,7.08E-06,0.142,0.186,147.581,152948466,74
210666,3,0.531,0.307,1,-8.92,1,0.0316,0.852,8.25E-06,0.157,0.25,118.652,,69
192560,4,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,851959328,62
199386,4,0.773,0.813,4,-4.609,0,0.0797,0.0331,3.77E-05,0.192,0.707,127.93,,62
210093,4,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82E-06,0.246,0.498,129.98,256190619,67
201000,4,0.691,0.921,8,-1.702,0,0.0535,0.174,0,0.331,0.802,130.072,570855156,62
222500,4,0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57E-06,0.344,0.395,129.971,326333933,49
245040,4,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,1684152726,56
199680,4,0.705,0.794,8,-2.266,1,0.0593,0.0488,0,0.575,0.412,127.961,280699045,60
